Drug,MW,LogP,TPSA
NALTREXONE,341.4070000000001,1.5253999999999999,70.0
ZAFIRLUKAST,575.6870000000001,5.695920000000005,115.73
"CEFPROZIL ANHYDROUS, (E)-",389.4330000000001,0.7067000000000008,132.96
ROFECOXIB,314.3620000000001,2.5577000000000005,60.44
MOXONIDINE,241.68200000000002,0.8181199999999997,71.43
PROCAINAMIDE HYDROCHLORIDE,271.792,1.7621999999999995,58.36
MISOPROSTOL,382.5410000000003,3.9536000000000033,83.83
MACIMORELIN,474.56500000000017,1.8447999999999996,144.89999999999998
MEPERIDINE,247.33799999999994,2.2131,29.54
METHAQUALONE,250.30100000000002,3.0025400000000015,34.89
PROBUCOL,516.8570000000003,9.908299999999995,40.46
LOXOPROFEN,246.30599999999993,2.7864000000000013,54.37
TRIENTINE,146.238,-1.916999999999998,76.1
ZOMEPIRAC,291.73400000000004,2.8450200000000017,59.3
TERAZOSIN,387.44000000000017,1.0567999999999995,103.04
LEVAMFETAMINE,135.20999999999998,1.5763,26.02
DEXTROAMPHETAMINE,135.20999999999998,1.5763,26.02
SITAXENTAN,454.91300000000024,3.9612400000000028,107.73
PYRAZINAMIDE,123.11499999999998,-0.4245000000000001,68.87
IBUDILAST,230.311,3.296400000000002,34.370000000000005
